"Module_No","Exam_Year","Exam_Sitting","Title","Module_name.x","Module_URL","Module_name.y","Doc_Type","language","paper","annex","region","HL_SAL_FAL","control"
7576,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=VxtlL9-03S4%3d&tabid=1920&portalid=0&mid=7576","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
7576,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=5iJRnnlWL44%3d&tabid=1920&portalid=0&mid=7576","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
7576,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=TtjBVX-Weto%3d&tabid=1920&portalid=0&mid=7576","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
7576,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=fJhUv6zhBjA%3d&tabid=1920&portalid=0&mid=7576","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
7576,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=yHQqoKiTC0M%3d&tabid=1920&portalid=0&mid=7576","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
7576,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=S8MhUmqzBRk%3d&tabid=1920&portalid=0&mid=7576","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
8243,2018,"May","2018 May/June NSC Exam Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=JhlErIMoqqY%3d&tabid=2182&portalid=0&mid=8243","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
8243,2018,"May","2018 May/June NSC Exam Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=eLByvQE93ow%3d&tabid=2182&portalid=0&mid=8243","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
8243,2018,"May","2018 May/June NSC Exam Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=IBWK_ys2rrw%3d&tabid=2182&portalid=0&mid=8243","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
8243,2018,"May","2018 May/June NSC Exam Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=uH-MZwgiHag%3d&tabid=2182&portalid=0&mid=8243","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
8243,2018,"May","2018 May/June NSC Exam Papers","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=36Bphx2_EJg%3d&tabid=2182&portalid=0&mid=8243","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
8243,2018,"May","2018 May/June NSC Exam Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=S26lmTcvGak%3d&tabid=2182&portalid=0&mid=8243","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
8595,2018,"November","2018 November NSC Examination Papers ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Mx79jnn8dLw%3d&tabid=2268&portalid=0&mid=8595","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
8595,2018,"November","2018 November NSC Examination Papers ","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=8UMzAnpa1wQ%3d&tabid=2268&portalid=0&mid=8595","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
8595,2018,"November","2018 November NSC Examination Papers ","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=-WMl7SgiTS8%3d&tabid=2268&portalid=0&mid=8595","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
8595,2018,"November","2018 November NSC Examination Papers ","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=AKE8GhmgnSI%3d&tabid=2268&portalid=0&mid=8595","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
8595,2018,"November","2018 November NSC Examination Papers ","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=e2mkiuGGPCA%3d&tabid=2268&portalid=0&mid=8595","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
8595,2018,"November","2018 November NSC Examination Papers ","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=aHyl-aNrn1g%3d&tabid=2268&portalid=0&mid=8595","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
6370,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=ePngzSFlDqc%3d&tabid=1608&portalid=0&mid=6370","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
6370,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=8AfmrB0Az0g%3d&tabid=1608&portalid=0&mid=6370","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
6370,2017,"February","2017 Feb/March NSC Exam Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=EhMZvZvodxw%3d&tabid=1608&portalid=0&mid=6370","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
6370,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=mDTtVI_8-Ok%3d&tabid=1608&portalid=0&mid=6370","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
