"Module_No","Exam_Year","Exam_Sitting","Title","Paper","Module_URL","Subject","Paper_Language","Paper_type","Paper_No","HL_FAL_SAL","Region","NA.","NA..1","filename","fileext"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english fal paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=P1TaC8Wb0Xs%3d&tabid=4504&portalid=0&mid=12284","English","english","","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 1 english fal",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english fal paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=QFD_ILsTbOE%3d&tabid=4504&portalid=0&mid=12284","English","english","memo","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 1 english fal memo",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english fal paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=2jUodEAPUO0%3d&tabid=4504&portalid=0&mid=12284","English","english","","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 2 english fal",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english fal paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=Eb-XBkxfjhs%3d&tabid=4504&portalid=0&mid=12284","English","english","memo","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 2 english fal memo",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english fal paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=Ck_xc9C9XFg%3d&tabid=4504&portalid=0&mid=12284","English","english","","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 3 english fal",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english fal paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=T1OwGZVTBzM%3d&tabid=4504&portalid=0&mid=12284","English","english","memo","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 3 english fal memo",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english hl paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=GOutAK_AT-c%3d&tabid=4504&portalid=0&mid=12284","English","english","","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 1 english hl",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english hl paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=SrqTjxDGb78%3d&tabid=4504&portalid=0&mid=12284","English","english","memo","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 1 english hl memo",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english hl paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=_nF9JvqFakI%3d&tabid=4504&portalid=0&mid=12284","English","english","","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 2 english hl",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english hl paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=T_EOlRazEuI%3d&tabid=4504&portalid=0&mid=12284","English","english","memo","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 2 english hl memo",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english hl paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=xJcV6XvfgNo%3d&tabid=4504&portalid=0&mid=12284","English","english","","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 3 english hl",".pdf"
12284,2023,"May","2023 May/June NSC/SC Exam Papers","english hl paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=Eznk7xf3RvI%3d&tabid=4504&portalid=0&mid=12284","English","english","memo","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May English paper 3 english hl memo",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele fal paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=8s8w_nuC5Ls%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 1 isindebele fal",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele fal paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=5YLov7F0eXs%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","memo","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 1 isindebele fal memo",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele fal paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=-cffKy9HTvo%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 2 isindebele fal",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele fal paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=4FniL33JMSg%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","memo","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 2 isindebele fal memo",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele fal paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=s0Y9KTIVT7U%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 3 isindebele fal",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele fal paper 3 nov memo","https://www.education.gov.za/LinkClick.aspx?fileticket=5YLov7F0eXs%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","memo","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 3 isindebele fal memo",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele hl paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=90rDdBrsH5o%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 1 isindebele hl",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele hl paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=7oC3bGEx9tE%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","memo","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 1 isindebele hl memo",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele hl paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=AjoJ6LyZP7Q%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 2 isindebele hl",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele hl paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=EANGkKd64nE%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","memo","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 2 isindebele hl memo",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele hl paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=z1VtgKlIyYE%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 3 isindebele hl",".pdf"
12285,2023,"May","2023 May/June NSC/SC Exam Papers","isindebele hl paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=bXHMicHYp5Y%3d&tabid=4504&portalid=0&mid=12285","IsiNdebele","isindebele","memo","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiNdebele paper 3 isindebele hl memo",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa fal paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=mYPfaazPyB0%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 1 isixhosa fal",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa fal paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=HJcJZPd_qog%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","memo","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 1 isixhosa fal memo",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa fal paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=JhRvT0DYM9M%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 2 isixhosa fal",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa fal paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=-gH6xXAKsAc%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","memo","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 2 isixhosa fal memo",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa fal paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=gPsNM95rgmc%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 3 isixhosa fal",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa fal paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=zep1KK_d-3c%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","memo","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 3 isixhosa fal memo",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa hl paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=Yy1Vzqfb1xY%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 1 isixhosa hl",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa hl paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=EZu-Kgp1_sk%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","memo","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 1 isixhosa hl memo",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa hl paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=fogDVDG0uQg%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 2 isixhosa hl",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa hl paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=wuqZWcIoPmQ%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","memo","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 2 isixhosa hl memo",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa hl paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=RPL0MSIrmGs%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 3 isixhosa hl",".pdf"
12286,2023,"May","2023 May/June NSC/SC Exam Papers","isixhosa hl paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=oJV6CTc63es%3d&tabid=4504&portalid=0&mid=12286","IsiXhosa","isixhosa","memo","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiXhosa paper 3 isixhosa hl memo",".pdf"
12287,2023,"May","2023 May/June NSC/SC Exam Papers","isizulu fal paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=25f6EgLQBUk%3d&tabid=4504&portalid=0&mid=12287","IsiZulu","isizulu","","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiZulu paper 1 isizulu fal",".pdf"
12287,2023,"May","2023 May/June NSC/SC Exam Papers","isizulu fal paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=pl2UxJOIT-A%3d&tabid=4504&portalid=0&mid=12287","IsiZulu","isizulu","memo","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiZulu paper 1 isizulu fal memo",".pdf"
12287,2023,"May","2023 May/June NSC/SC Exam Papers","isizulu fal paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=E83FaYe25ro%3d&tabid=4504&portalid=0&mid=12287","IsiZulu","isizulu","","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiZulu paper 2 isizulu fal",".pdf"
12287,2023,"May","2023 May/June NSC/SC Exam Papers","isizulu fal paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=t30HAmTVX34%3d&tabid=4504&portalid=0&mid=12287","IsiZulu","isizulu","memo","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiZulu paper 2 isizulu fal memo",".pdf"
12287,2023,"May","2023 May/June NSC/SC Exam Papers","isizulu fal paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=5ioLdpIA-BE%3d&tabid=4504&portalid=0&mid=12287","IsiZulu","isizulu","","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiZulu paper 3 isizulu fal",".pdf"
12287,2023,"May","2023 May/June NSC/SC Exam Papers","isizulu fal paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=wSxypZRfo4g%3d&tabid=4504&portalid=0&mid=12287","IsiZulu","isizulu","memo","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May IsiZulu paper 3 isizulu fal memo",".pdf"
